"Name","Position","Zips","Fans","Steamer","Oliver","Rotochamp","Average","Total",,,,,,
"Tim Hudson","Pitcher",413,456,350,508,394,424.2,5,,,,,,
"Trevor Plouffe","Hitter",422,454.5,344,432,458,422.1,5,,,,,,
"Wilin Rosario","Hitter",396.5,465,409,428,408.5,421.4,5,,,,,,
"Alberto Callaspo","Hitter",458.5,430,311,487,418.5,421,5,,,,,,
"Ivan Nova","Pitcher",394,437,331,453,490,421,5,,,,,,
"Kris Medlen","Pitcher",384,514,418,274,505,419,5,,,,,,
"Justin Ruggiano","Hitter",368,501.5,373.5,399.5,451,418.7,5,,,,,,
"Kyler Burke","Hitter",0,0,0,418,0,418,1,,,,,,
"Michael Saunders","Hitter",397,522.5,373,419.5,374,417.2,5,,,,,,
"Kevin Youkilis","Hitter",421.5,464,348.5,420.5,428.5,416.6,5,,,,,,
"Bronson Arroyo","Pitcher",352,458,383,449,441,416.6,5,,,,,,
"James Loney","Hitter",446,448.5,363,466.5,356,416,5,,,,,,
"Sean Doolittle","Hitter",0,0,0,416,0,416,1,,,,,,
"Mike Fiers","Pitcher",385,451,341,433,470,416,5,,,,,,
"Will Venable","Hitter",405.5,470.5,392.5,438,365.5,414.4,5,,,,,,
"Paul Maholm","Pitcher",400,443,377,435,409,412.8,5,,,,,,
"Jeff Francoeur","Hitter",493.5,396,299.5,488,386.5,412.7,5,,,,,,
"Kyle Lohse","Pitcher",404,446,349,438,425,412.4,5,,,,,,
"A.J. Pierzynski","Hitter",412.5,461.5,361.5,428.5,393,411.4,5,,"mine",,,,
"Lorenzo Cain","Hitter",362,479.5,383.5,400.5,422.5,409.6,5,,,,,,
"Jean Segura","Hitter",465,464.5,329,480,301.5,408,5,,,,,,
"Lance Berkman","Hitter",245,536,420.5,365,467.5,406.8,5,,,,,,
"Jonathan Lucroy","Hitter",401.5,471,340,389.5,431.5,406.7,5,,,,,,
"Domonic Brown","Hitter",442.5,470.5,339.5,418.5,353,404.8,5,,,,,,
"Jason Hammel","Pitcher",370,471,349,391,440,404.2,5,,,,,,
"C.J. Cron","Hitter",0,0,376.5,429,0,402.75,2,,,,,,
"Lonnie Chisenhall","Hitter",373.5,474.5,377,383,402.5,402.1,5,,,,,,
"Chris Young","Hitter",404.5,471,373,466,291.5,401.2,5,,,,,,
"Mitch Moreland","Hitter",428,426.5,310.5,440,399.5,400.9,5,,,,,,
"Marco Estrada","Pitcher",342,458,367,333,503,400.6,5,,,,,,
"Shaun Marcum","Pitcher",426,414,302,465,396,400.6,5,,,,,,
"Gerardo Parra","Hitter",416.5,459,387,471,266,399.9,5,,,,,,
"Darin Mastroianni","Hitter",365,419,327.5,445.5,442,399.8,5,,,,,,
"Justin Smoak","Hitter",411.5,403,272,475,430.5,398.4,5,,,,,,
"Chris Parmelee","Hitter",452.5,402,290.5,512.5,328,397.1,5,,,,,,
"Alex Avila","Hitter",370.5,452,326,398,438.5,397,5,,,,,,
"Clayton Richard","Pitcher",334,454,384,414,397,396.6,5,,,,,,
"Travis Wood","Pitcher",408,399,325,478,368,395.6,5,,,,,,
"Chris Carter","Hitter",481,455,82.5,443,513,394.9,5,,,,,,
"Peter Bourjos","Hitter",376,439,337,385.5,434.5,394.4,5,,,,,,
"Ryan Doumit","Hitter",337.5,457.5,366.5,389.5,420.5,394.3,5,,,,,,
"Vance Worley","Pitcher",348,410,319,430,457,392.8,5,,,,,,
"Joe Saunders","Pitcher",326,420,340,459,417,392.4,5,,,,,,
"Jordan Pacheco","Hitter",481.5,387.5,257,446,388,392,5,,,,,,
"Seth Smith","Hitter",357,456.5,349,427,367,391.3,5,,,,,,
"Rick Porcello","Pitcher",394,412,331,403,416,391.2,5,,,,,,
"Cliff Pennington","Hitter",433.5,385,291,408.5,433,390.2,5,,,,,,
"J.D. Martinez","Hitter",442,459,362.5,458.5,229,390.2,5,,,,,,
"Delino Deshields Jr.","Hitter",454,0,360.5,355.5,0,390,3,,,,,,
"Felix Doubront","Pitcher",332,465,384,328,441,390,5,,,,,,
"Kelly Johnson","Hitter",417,425.5,296.5,454,355.5,389.7,5,,,,,,
"Carlos Gomez","Hitter",350.5,438.5,363.5,384.5,411,389.6,5,,,,,,
"Michael Ryan","Hitter",0,0,0,389.5,0,389.5,1,,,,,,
"Chad Billingsley","Pitcher",442,431,326,466,281,389.2,5,,,,,,
"Aaron Hicks","Hitter",442,0,268.5,455.5,0,388.67,3,,,,,,
"A.J. Griffin","Pitcher",397,413,296,411,424,388.2,5,,,,,,
"Hunter Morris","Hitter",467,0,254.5,443,0,388.17,3,,,,,,
"Brett Wallace","Hitter",431.5,405,295,431.5,370.5,386.7,5,,,,,,
"Lucas Harrell","Pitcher",329,446,352,414,391,386.4,5,,,,,,
"Jeremy Guthrie","Pitcher",356,412,328,432,403,386.2,5,,,,,,
"Matt Dominguez","Hitter",471,364.5,277.5,438.5,378.5,386,5,,,,,,
"Dillon Gee","Pitcher",334,443,350,393,410,386,5,,,,,,
"Jed Lowrie","Hitter",274,441.5,326.5,342,535,383.8,5,,,,,,
"Andy Dirks","Hitter",419.5,421.5,296,450,325.5,382.5,5,,,,,,
"Hisashi Iwakuma","Pitcher",314,461,352,387,398,382.4,5,,,,,,
"Clay Buchholz","Pitcher",365,449,347,380,371,382.4,5,,,,,,
"Travis Snider","Hitter",395.5,422,366.5,402,324,382,5,,,,,,
"Jaime Garcia","Pitcher",415,443,341,449,261,381.8,5,,,,,,
"Wil Myers","Hitter",505.5,410,271,470.5,248,381,5,,,,,,
"Jonathan Papelbon","Pitcher",232,531,456,219,467,381,5,,,,,,
"Joe Blanton","Pitcher",302,441,344,378,437,380.4,5,,,,,,
"Russell Martin","Hitter",360.5,422,322,401,395.5,380.2,5,,,,,,
"Jerry Owens","Hitter",0,0,0,380,0,380,1,,,,,,
"Brett Myers","Pitcher",401,418,336,400,345,380,5,,,,,,
"Wilmer Flores","Hitter",491,0,87.5,561,0,379.83,3,,,,,,
"Chris Capuano","Pitcher",356,450,368,472,246,378.4,5,,,,,,
"Carlos Ruiz","Hitter",378,410,266.5,427.5,409.5,378.3,5,,,,,,
"Rafael Furcal","Hitter",391,390,305.5,384.5,414,377,5,,,,,,
"Sergio Santos","Hitter",0,0,0,377,0,377,1,,,,,,
"Alexi Ogando","Pitcher",400,467,310,274,416,373.4,5,,"mine",,,,
