Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
Nik Turley,200,0,98,202,0,166.66666666666666,3
Jason Garcia,0,0,95,134,0,114.5,2
Sean Jarrett,0,0,57,0,0,57.0,1
Dan Merklinger,0,0,104,0,0,104.0,1
Leoncio Munoz,0,0,55,0,0,55.0,1
Luis Silverio,0,0,57,0,0,57.0,1
Jason Urquidez,0,0,55,0,0,55.0,1
Matt Chaffee,0,0,79,124,0,101.5,2
James Jones,0,0,75,154,0,114.5,2
Chad Cordero,0,0,76,0,0,76.0,1
Joe Testa,0,0,61,0,0,61.0,1
Argenis Paez,0,0,87,127,0,107.0,2
Joel Pineiro,164,0,104,0,0,134.0,2
Craig Clark,0,0,98,0,0,98.0,1
Hung Yi Chen,0,0,0,56,0,56.0,1
Sergio Perez,154,0,99,0,0,126.5,2
Amaury Rivas,205,0,106,0,0,155.5,2
J.R. Bradley,0,0,83,162,0,122.5,2
Cole Mccurry,0,0,54,184,0,119.0,2
Jeff Manship,145,0,76,166,0,129.0,3
Alberto Cabrera,213,0,87,246,0,182.0,3
Luis Hidalgo,0,0,0,71,0,71.0,1
Jon Garland,167,0,131,263,0,187.0,3
Guillaume Leduc,0,0,58,0,0,58.0,1
Scott Rice,112,0,76,140,0,109.33333333333333,3
Ronny Rios,0,0,64,0,0,64.0,1
Yohan Flande,271,0,98,309,0,226.0,3
Ty Taubenheim,0,0,117,0,0,117.0,1
Gregory Peavey,0,0,89,271,0,180.0,2
Juan Morillo,0,0,91,0,0,91.0,1
Joe Bircher,0,0,86,0,0,86.0,1
Michael Bowden,178,0,105,209,121,153.25,4
Willy Lebron,0,0,60,0,0,60.0,1
Wilton Rodriguez,0,0,86,105,0,95.5,2
Andy Reichard,0,0,87,0,0,87.0,1
Krishawn Holley,0,0,0,14,0,14.0,1
Edwar Ramirez,0,0,76,0,0,76.0,1
Blake Maxwell,0,0,72,0,0,72.0,1
Mario Hollands,0,0,104,226,0,165.0,2
Mace Thurman,0,0,61,0,0,61.0,1
A.J. Griffin,397,413,296,411,424,388.2,5
Jacob Degrom,0,0,95,0,0,95.0,1
Carlos Rosario,0,0,58,0,0,58.0,1
Eddie Gamboa,0,0,91,206,0,148.5,2
Isaac Gil,0,0,0,44,0,44.0,1
Ethan Cole,0,0,72,0,0,72.0,1
William Rankin,0,0,57,49,0,53.0,2
Hunter Haynes,0,0,72,0,0,72.0,1
Clayton Mortensen,187,0,78,246,89,150.0,4
Jesse Hahn,0,0,92,0,0,92.0,1
Josh Smith,0,0,101,306,0,203.5,2
Matt Peterson,0,0,73,0,0,73.0,1
Billy Wagner,0,0,102,0,0,102.0,1
Benjamin Freeman,0,0,93,86,0,89.5,2
Danny Winkler,0,0,93,257,0,175.0,2
James Ehlert,0,0,57,0,0,57.0,1
Lenny Linsky,0,0,54,93,0,73.5,2
Maykel Ynfantes,0,0,99,0,0,99.0,1
Gaby Hernandez,0,0,90,0,0,90.0,1
Chad Thompson,0,0,95,107,0,101.0,2
Michael Recchia,0,0,57,91,0,74.0,2
Brett Brach,0,0,49,217,0,133.0,2
Luke Hochevar,350,360,273,401,183,313.4,5
Deiber Sanchez,0,0,60,0,0,60.0,1
Juan Santana,0,0,0,47,0,47.0,1
Gaspar Santiago,0,0,108,84,0,96.0,2
Andrew Smith,0,0,91,0,0,91.0,1
Bryan Augenstein,138,0,79,146,0,121.0,3
Mike Solbach,0,0,60,99,0,79.5,2
Danny Keller,0,0,87,63,0,75.0,2
Jeff Allison,0,0,95,0,0,95.0,1
Fu-Te Ni,0,0,76,0,0,76.0,1
Dan Cooper,0,0,55,0,0,55.0,1
Ronny Morla,0,0,61,0,0,61.0,1
Daniel Watts,0,0,89,183,0,136.0,2
Tyler Hollstegge,0,0,0,99,0,99.0,1
James Shields,552,629,535,644,589,589.8,5
Casey Fossum,0,0,82,0,0,82.0,1
Vladimir De La Cruz,0,0,0,49,0,49.0,1
Jeremy Guthrie,356,412,328,432,403,386.2,5
Jose Quintana,410,339,234,294,318,319.0,5
Michael Mccarthy,0,0,94,121,0,107.5,2
Adam Mills,0,0,81,0,0,81.0,1
Lucas Moran,0,0,0,61,0,61.0,1
Zachary Neal,0,0,90,0,0,90.0,1
Kevin Nabors,0,0,58,0,0,58.0,1
Evan Reed,107,0,78,0,0,92.5,2
Nathan Karns,217,0,140,215,0,190.66666666666666,3
Luis Noel,0,0,87,0,0,87.0,1
Scott Diamond,351,375,303,422,278,345.8,5
Kei Igawa,0,0,93,0,0,93.0,1
Fernando Cruzado,0,0,0,50,0,50.0,1
Ross Gerdeman,0,0,87,135,0,111.0,2
Ricky Martinez,0,0,52,70,0,61.0,2
Shawn Morimando,0,0,86,130,0,108.0,2
Sheldon Mcdonald,0,0,76,87,0,81.5,2
Michael Pineda,313,269,138,448,306,294.8,5
Miguel Mejia,0,0,76,0,0,76.0,1
George Mieses,0,0,49,138,0,93.5,2
Keith Bilodeau,0,0,58,144,0,101.0,2
Joe Melioris,0,0,57,122,0,89.5,2
Stew Brase,0,0,54,129,0,91.5,2
Wilmer Hernandez,0,0,53,0,0,53.0,1
Robert Coello,185,0,87,220,0,164.0,3
Pat Lowery,0,0,0,126,0,126.0,1
Pedro Feliciano,45,0,79,45,0,56.333333333333336,3
Craig Stammen,237,0,175,315,0,242.33333333333334,3
Thomas Keeling,0,0,63,125,0,94.0,2
Henry Centeno,0,0,60,0,0,60.0,1
Brandon Plotz,0,0,58,52,0,55.0,2
Jeremy Dobbs,0,0,66,142,0,104.0,2
Patrick Cooper,0,0,90,212,0,151.0,2
James Paxton,259,0,122,233,0,204.66666666666666,3
Jeff Mandel,0,0,90,238,0,164.0,2
Ryan Robowski,106,0,76,106,0,96.0,3
Geordy Parra,0,0,86,0,0,86.0,1
Bryan Henry,0,0,77,148,0,112.5,2
Brad Stone,0,0,88,0,0,88.0,1
Zachary Nuding,0,0,87,174,0,130.5,2
Charles Delk,0,0,87,0,0,87.0,1
Dexter Carter,0,0,85,0,0,85.0,1
Jose Pasen,0,0,75,0,0,75.0,1
Hisashi Iwakuma,314,461,352,387,398,382.4,5
Ryan Ketchner,0,0,82,0,0,82.0,1
Sam Brown,0,0,73,0,0,73.0,1
Ambiorix De Leon,0,0,58,40,0,49.0,2
Tim Wood,108,0,212,131,0,150.33333333333334,3
Mike Montgomery,268,0,98,314,0,226.66666666666666,3
Duane Below,171,0,68,218,129,146.5,4
Todd Kibby,0,0,90,120,0,105.0,2
Matt Chico,0,0,100,0,0,100.0,1
Joe Wieland,228,0,131,258,0,205.66666666666666,3
Gil Meche,0,0,103,0,0,103.0,1
John Danks,310,386,290,330,361,335.4,5
Ryan Mullins,0,0,89,0,0,89.0,1
Jonathan Ortiz,0,0,73,0,0,73.0,1
Andrew Berger,0,0,113,0,0,113.0,1
Daniel Schlereth,99,0,85,103,0,95.66666666666667,3
Aaron Harang,309,0,285,398,424,354.0,4
Erik Johnson,0,0,108,197,0,152.5,2
Burch Smith,0,0,122,205,0,163.5,2
John Maine,118,0,78,138,0,111.33333333333333,3
Jordan Jankowski,0,0,0,76,0,76.0,1
Barry Zito,296,415,347,366,335,351.8,5
Ronny Marte,0,0,55,0,0,55.0,1
Travis Garrett,0,0,0,59,0,59.0,1
Peter Levitt,0,0,58,0,0,58.0,1
Drew Naylor,163,0,97,0,0,130.0,2
Marcos Frias,0,0,78,146,0,112.0,2
Chase Anderson,179,0,107,200,0,162.0,3
Mitch Atkins,214,0,96,0,0,155.0,2
Ryan Kelly,0,0,78,167,0,122.5,2
Joe Bisenius,0,0,82,0,0,82.0,1
