Name,Zips,Fans,Steamer,Oliver,Rotochamp,Average,Total
Matt Cusick,0,0,74.0,0,0,74.0,1
Oviel Florentino,0,0,43.0,0,0,43.0,1
Kenneth Wilson,0,0,53.5,327.0,0,190.25,2
Sammy Ayala,0,0,0,130.0,0,130.0,1
Gerald Hall,0,0,56.0,0,0,56.0,1
Matt Wallach,0,0,67.0,260.5,0,163.75,2
Nick Schwaner,0,0,53.5,0,0,53.5,1
Elliot Johnson,255.5,0,106.5,319.5,0,227.16666666666666,3
Drew Lee,0,0,51.5,0,0,51.5,1
Martin Maldonado,277.5,0,73.0,345.5,244.5,235.125,4
Adam Rosales,254.5,0,115.5,287.5,0,219.16666666666666,3
Fernando Rios,0,0,61.0,0,0,61.0,1
Jason Botts,0,0,83.0,0,0,83.0,1
Addison Russell,0,0,286.0,221.0,0,253.5,2
Brian Henry,0,0,52.5,0,0,52.5,1
Fu-Lin Kuo,0,0,43.0,180.0,0,111.5,2
Chris Getz,251.0,322.0,212.5,288.5,356.0,286.0,5
Jacob Rogers,0,0,54.5,216.0,0,135.25,2
Greg Folgia,0,0,56.0,0,0,56.0,1
Rich Thompson,325.5,0,73.5,371.0,0,256.6666666666667,3
Jared Bolden,0,0,69.0,0,0,69.0,1
Wesley Freeman,0,0,47.0,0,0,47.0,1
Callix Crabbe,0,0,64.5,0,0,64.5,1
Juan Duran,0,0,48.0,239.5,0,143.75,2
Alfredo Silverio,356.5,0,75.0,0,0,215.75,2
Ambiorix Reyes,0,0,63.5,0,0,63.5,1
Alex Garabedian,0,0,66.0,0,0,66.0,1
Chad Stang,0,0,48.0,282.5,0,165.25,2
Adrian Cardenas,396.5,0,94.5,391.0,0,294.0,3
Jesus Solorzano,0,0,48.5,0,0,48.5,1
Rony Peralta,0,0,46.0,0,0,46.0,1
Jarrett Burgess,0,0,40.5,201.5,0,121.0,2
Wes Bankston,0,0,76.0,0,0,76.0,1
Vladimir Martinez,0,0,51.0,0,0,51.0,1
Ryan Patterson,0,0,75.5,0,0,75.5,1
Alfredo Rodriguez,0,0,47.5,291.0,0,169.25,2
Keith Glenn,0,0,48.5,169.0,0,108.75,2
Eladio Berroa,0,0,44.0,0,0,44.0,1
Travis Jones,0,0,56.0,226.5,0,141.25,2
Xavier Scruggs,0,0,66.5,368.0,0,217.25,2
Federico Hernandez,0,0,62.5,0,0,62.5,1
Mark Kotsay,134.5,0,117.0,263.0,179.5,173.5,4
Josmil Pinto,300.0,0,71.0,348.0,0,239.66666666666666,3
Jose Bonilla,0,0,61.0,232.5,0,146.75,2
Andy Wilkins,448.0,0,76.0,437.5,0,320.5,3
Rylan Sandoval,0,0,62.0,228.5,0,145.25,2
Mark Fleury,0,0,55.5,248.5,0,152.0,2
Darrell Ceciliani,0,0,58.0,297.0,0,177.5,2
Michael Cuddyer,508.5,524.0,427.0,456.0,532.5,489.6,5
Jean Rodriguez,0,0,47.0,0,0,47.0,1
Jose Luis Javier,0,0,41.0,0,0,41.0,1
Kirk Nieuwenhuis,312.0,319.0,191.0,334.5,316.0,294.5,5
Gregorio Petit,289.0,0,66.5,292.5,0,216.0,3
Ydarqui Marte,0,0,0,172.0,0,172.0,1
Viosergy Rosa,0,0,44.0,0,0,44.0,1
Jaime Brena,0,0,67.5,0,0,67.5,1
Brian Goodwin,0,0,69.0,410.5,0,239.75,2
Johan Santa,0,0,51.0,0,0,51.0,1
Jonathan Mota,0,0,72.0,233.5,0,152.75,2
